"","County","Population","DVM","PharmD","SWs","PTs","PAs","PCPs","Psych","FM","GPs","Gers","IM","OB.GYN","Peds","sqmi"
"51","Cottle",1572,0,0,0,0,1,0,0,0,0,0,0,0,0,900.5583897882
"52","Crane",4847,0,4,0,0,1,1,0,0,0,0,1,0,0,785.0644326954
"53","Crockett",3918,0,1,0,1,2,1,0,1,0,0,0,0,0,2807.2690467822
"54","Crosby",6640,0,2,2,2,0,1,0,1,0,0,0,0,0,900.1940395734
"55","Culberson",2568,0,0,0,1,2,1,0,1,0,0,0,0,0,3812.7639231396
"56","Dallam",7407,7,0,1,2,1,0,0,0,0,0,0,0,0,1503.248929182
"57","Dallas",2496859,446,2855,2261,1512,852,2237,288,583,71,12,895,269,407,872.7081631983
"58","Dawson",14359,8,3,5,1,2,8,0,6,0,0,1,0,1,900.3008626326
"59","Deaf Smith",20982,9,9,12,4,2,10,0,6,1,0,3,0,0,1496.8583969625
"60","Delta",5505,3,1,2,0,1,1,0,0,1,0,0,0,0,256.8237945273
"61","Denton",789094,261,595,495,397,165,440,30,181,10,2,100,59,88,878.4793110951
"62","De Witt",20472,8,20,11,6,2,13,0,9,2,0,0,0,2,NA
"63","Dickens",2493,3,2,1,0,0,0,0,0,0,0,0,0,0,901.7190650754
"64","Dimmit",10473,1,7,1,1,1,9,0,6,1,0,0,1,1,1328.8768815465
"65","Donley",3781,2,7,2,0,4,1,0,0,1,0,0,0,0,926.8806854736
"66","Duval",12247,0,5,2,0,1,0,0,0,0,0,0,0,0,1793.4665339448
"67","Eastland",19259,4,14,10,7,1,8,0,6,0,0,1,0,1,926.4808221669
"68","Ector",148260,21,114,48,52,30,99,3,30,1,0,31,16,21,897.7190686893
"69","Edwards",2119,0,0,0,0,0,1,0,0,1,0,0,0,0,2117.8464354333
"70","Ellis",173277,28,95,65,70,20,91,2,40,4,0,23,9,15,935.6500338471
"71","El Paso",873513,106,499,573,350,134,430,41,106,11,0,141,64,108,1012.8152161413
"72","Erath",39534,33,34,26,14,3,26,0,15,0,0,5,3,3,1083.0651323778
